All ingredients in cryoprotective solution,DMSO usage,cooling rate,viability,recovery,Doubling time,Comments about method,Comments about results,Source (DOI link)
0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol,"0
",slow_freeze,0.84,not mention,(37.8 ±1.9%),,,https://doi.org/10.3390/life13061286 
10% Me2SO + 4% human albumin,0.1,slow_freeze,0.952,0.9,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2","- ASCs isolated from adipose tissue (lipoaspirate) of five healthy donors via collagenase digestion, cultured in DMEM with 10% pooled human platelet lysate (pHPL).
- Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.- - Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).
- Statistical analysis: One-way ANOVA with Tukey’s test.","- STD10, CS10, and PIM2 showed higher viability than CS2; PIM1 and PIM2 had better recovery than CS2.
- All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).- Proliferation and migration were comparable across media, though CS10 reached confluency faster.
- T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.
- PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic,effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1).",10.1016/j.cryobiol.2020.05.014
2% Me2SO + Dextran-40,0.02,slow_freeze,0.898,0.789,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.5 h","Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.","All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).",10.1016/j.cryobiol.2020.05.014
10% Me2SO + Dextran-40,0.1,slow_freeze,0.958,0.82,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 81.3 h (p < 0.01 vs. CS2 and PIM1)","Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).","Proliferation and migration were comparable across media, though CS10 reached confluency faster.",10.1016/j.cryobiol.2020.05.014
1% Me2SO + 10% pentaisomaltose + 4% HA,0.01,slow_freeze,not mention,0.9356,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.4 h (p < 0.01 vs. CS10)",Statistical analysis: One-way ANOVA with Tukey’s test.,"T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.",10.1016/j.cryobiol.2020.05.014
2% Me2SO + 10% pentaisomaltose + 4% HA,0.02,slow_freeze,0.957,0.938,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2",,"PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic, effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1)",10.1016/j.cryobiol.2020.05.014
10% DMSO + glucose + high polymer anhydrous dextrose + STEM-CELLBANKERTM,0.1,slow_freeze,0.856,0.567,"Ad-MSCs(38.1 ± 13.6h), BM-MSCs (47.7 ± 11.4h)","Propidium Iodide (PI) testing  accompany with the assesment which allow only alive cells counted for culculating the result. b-Galactosidase staining,  flow cytometryfor and relative monoclonal FITC or PE conjugated
antibodies were utilized to evaluate the degree of cellular senescence and property of cells (markers) respectively.","The result show that CB enhanced the preservation of MSC viability, growth and mesodermal differentiation potential when compared to DMSO in MesencultÒ -XF. Furthermore, the CB cryopreservation medium was better for Ad-MSCs compared to BM-MSCs.",https://doi.org/10.1007/s10561-014-9463-8
2.5% DMSO + 30 mmol/L trehalose,0.025,multi_freeze,0.9418,0.9118,"Not mentioned , but can utilize Colony Forming Units (Pre- and Postcryopreservation) eaasy result as the analyze of proliferation and differentiation capacity of stem cells average CFU (36.14±2.06)
×10^5(fresh UCB) and (31.86±0.64)×10^5(after thawing)","three cryoprotectants were assessed to compare their ability on store the umbilical cord blood (UCB), detailed processing of UCB isolation and subsequent properties assesment such as Colony Forming Units, CD34+,Cell Apoptosis Analysis and so on.","The data showed that group C exhibited higher cell viability and CFUs and a lower apoptosis rate after thawing than either group A,B,or D",https://doi.org/10.1155/2016/1396783
10% ethyleneglycol + 2.0% DMSO,0.02,multi_freeze,0.9235,0.8735,stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (27.78±0.58)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783
10% DMSO + 2.0% dextran-40,0.1,multi_freeze,0.8943,0.8243,stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (22.25±0.52)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783
7.5% DMSO + 5% Human albumin + autologous plasma,0.08,multi_freeze,0.98,0.567,Not reported ,"HSPCs collected via leukapheresis from 20 patients, mixed with DMSO (10%, 7.5%, 5%, or 2.5%), 5% human albumin, and autologous plasma, then frozen using a controlled-rate freezer and stored in liquid nitrogen vapor.","Clonogenic potential was highest at 7.5% DMSO (median 470 colonies per 10^5 cells, p=0.04 vs. 10% at 451), suggesting it may be as effective as 10% DMSO with potentially lower toxicity.",doi:  10.1111/j.1423-0410.2012.01657.x
1% HAS + 3.5% DMSO + 2.5% HES,0.035,slow_freeze,0.68,0.796,Not mentioned,"Fresh cryoprotectant soln was made using 7% DMSO, 2% HAS and 5% HES and stored at 4C. It was mixed (vol/vol) with AC at 4C and final concs were achieved. The final components were stored in freezing bags and vials. Freezing bags were kept horizontaly. Uncontrolled-rate freezing was utilised and stored at -80C. ","The transfusions were well tolerated  by the patients, and mortality related to the procedure was only 0.9% (1 of 109). The study shows that conventional controlled-rate freezing is not necessary for successful cryopreservation of PBPCs.",doi:10.1046/j.1537-2995.2001.41050667.x
5% DMSO + 6% HES,0.05,slow_freeze,0.8225,0.967,,,,doi:10.1046/j.1537-2995.2001.41050667.x
10% DMSO,0.1,slow_freeze,0.98,0.629,,,,doi:10.1046/j.1537-2995.2001.41050667.x
5% DMSO + 6% HES,0.05,slow_freeze,not mention,0.866,,,,doi:10.1046/j.1537-2995.2001.41050667.x
5% DMSO + 6% HES,0.05,slow_freeze,not mention,1,,,,doi:10.1046/j.1537-2995.2001.41050667.x
10% DMSO,0.1,slow_freeze,0.9,0.86,,,,doi:10.1046/j.1537-2995.2001.41050667.x
5% DMSO,0.05,slow_freeze,0.847,0.86,,,,doi:10.1046/j.1537-2995.2001.41050667.x
5% DMSO,0.05,slow_freeze,0.78,0.91,,,,doi:10.1046/j.1537-2995.2001.41050667.x
10% DMSO + 10% FBS,0.1,multi_freeze,0.73,not mention,55.49±0.06 h close to the contorl (54.28±0.05 h),"trypan blue exclusion test utilized for the viability testing , Flow cytometry assay and Western blotting were used to confirm the pluripotency of WJMSCs , however, the result of cell counting before and after thawing haven't showed in the paper      ADMEM at room temperature and the solution was then stored at 4oC overnight to obtain a homogeneous preparation","This study compared six cryoprotectants and found that 10% DMSO + 10% FBS (Solution C) produced the best freezing results, with a high post-thaw cell survival rate (81.2%). However, removing FBS significantly reduced survival (for example, Solution D had only 6.8%), demonstrating the critical importance of FBS. Freezing increased cell apoptosis (especially Solution B, which had high BAX/p53 expression and poor survival), but did not affect stem cell appearance, markers, or differentiation ability (they could become fat cells or bone cells).",https://doi.org/10.15283/ijsc.2015.8.2.155
10% PVP + 10% FBS,"0
",multi_freeze,0.74,not mention,55.13±0.03,,,https://doi.org/10.15283/ijsc.2015.8.2.155
10% FBS + 0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol,"0
",multi_freeze,0.66,not mention,55.79±0.12 h,,,https://doi.org/10.15283/ijsc.2015.8.2.155
10% PVP,"0
",multi_freeze,0.4,not mention,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155
0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol + 0% FBS,"0
",multi_freeze,0.5,not mention,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155
10% DMSO,0.1,multi_freeze,0.58,not mention,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155
3.5% DMSO + 1% human serum albumin + 2.5% HES,3.5% DMSO as a permeating cryoprotectant to prevent intracellular ice formation,slow_freeze,not mention,0.475,Not reported; study focused on engraftment and hematopoietic reconstitution rather than proliferation rates,"PHPCs from 302 patients (342 autografts) cryopreserved at -80°C with 3.5% DMSO, 1% human serum albumin, and 2.5% HES using uncontrolled-rate freezing; post-thaw viability assessed via trypan blue and 7-AAD, CD34+ cells via ISHAGE guidelines, and clonogenic potential via CFU-GM assay.",Long-term hematopoietic reconstitution reached normal values at 12 months for 39% of patients (trilineage); 3.5% DMSO with uncontrolled-rate freezing at -80°C led to satisfactory engraftment and reduced infusion toxicity compared to standard 5–10% DMSO protocols.,10.1111/j.1537-2995.2012.03768.x
10% HES450,0,slow_freeze,0.1,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-49
1% DMSO + 9% HES450,0.01,slow_freeze,0.17,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-50
2% DMSO + 8% HES450,0.02,slow_freeze,0.2,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-51
3% DMSO + 7% HES450,0.03,slow_freeze,0.22,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-52
4% DMSO + 6% HES450,0.04,slow_freeze,0.5,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-53
5% DMSO + 5% HES450,0.05,slow_freeze,0.8,not mention,Not mentioned,CPA with 500 ul of prepared cryoprotectant  was introduced to centrifuged cell samples. They were kept on ice until they were cooled according to the protocol. The chamber was cooled to 4C before the protocol was applied and then the cells were stored at -134C liquid nitrogen. MTT assay was used for viability. ALP assays were performed for post-thaw differentiation capacity.,"The paper studies 77 different groups with varying DMSO and HES concs, accross 7 different cooling protocols. Trading off for viability and differentiationability, a formulation of 5% DMSO/5% HES is recommended, using a straight freeze approach to save time.",doi:10.1186/1472-6750-12-54
6% DMSO + 4% HES450,0.06,slow_freeze,0.7,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-55
7% DMSO + 3% HES450,0.07,slow_freeze,1,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-56
8% DMSO + 2% HES450,0.08,slow_freeze,1,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-57
9% DMSO + 1% HES450,0.09,slow_freeze,0.8,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-58
10% DMSO,0.1,slow_freeze,0.9,not mention,Not mentioned,,,doi:10.1186/1472-6750-12-59
200 mM sucrose + 10% PL,"0
",slow_freeze,0.58,0.55,42.0 ± 4.8 h,"There are two main process in this experiment 1: find out the optimal concentration of crypprotectant (sucrose 200mM) through pretrement 2:compare the viability, recovery,PDT, Adipogenic differentiation and Osteogenic differentiation ability of different pretrement soultion affect on the ASCs.","The result showed during cryopreservation, their presence only outside the cellsnhas been shown to be insufficient for obtaining satisfactory results. Sugar is required in both the intra and extracellular compartments. The optimal sucrose concentrations for the preservation of ASCs were 100 mM. In general, the presented DMSO-free/xeno-free ASCs preparation process allows preserving about 60% of cells after cryopreservation in the absence of DMSO and FS.",https://doi.org/10.1007/s10616-016-0055-2
200 mM sucrose + 10% FS,"0
",slow_freeze,0.45,0.45,89.2 ± 4.3 h,,,
30% FBS + 5% DMSO,0.05,slow_freeze,0.8507,not mention,Not mentioned,Flow cytometry was used to evaluate cell viability. The cells were stained with Annexin-V and DAPI. Annexin-/DAPI- were considered viable,"The results showed that as concentration of DMSO increased, viability increased, however >10% viability decreased. Also as higher concentration of DMSO may cause side-effects in patients, 5% DMSO should be used.",http://dx.doi.org/10.1016/j.jcyt.2016.04.005
4.5% HAS,0,slow_freeze,0.0516,not mention,Not mentioned,,,
0.5% DMSO + 99.5% HAS,0.005,slow_freeze,0.22,not mention,Not mentioned,,,
1% DMSO + 99% HAS,0.01,slow_freeze,0.28,not mention,Not mentioned,,,
2% DMSO + 98% HAS,0.02,slow_freeze,0.65,not mention,Not mentioned,,,
4% DMSO + 96% HAS,0.04,slow_freeze,0.68,not mention,Not mentioned,,,
5% DMSO + 95% HAS,0.05,slow_freeze,0.8565,not mention,Not mentioned,,,
10% DMSO + 90% HAS,0.1,slow_freeze,0.885,not mention,Not mentioned,,,
15% DMSO + 85% HAS,0.15,slow_freeze,0.706,not mention,Not mentioned,,,
20% DMSO + 80% HAS,0.2,slow_freeze,0.641,not mention,Not mentioned,,,
0.3 M Trehalose,0,slow_freeze,0.47,not mention,Not mentioned,Trypan blue staining was used to evaluate cell viability. Colorimetric asessment at 450 nm was used to obtain OD value to represent cell proliferation. FACS cytometer was used for asessment of cell markers.,"The study found that CPA combination of Trehalose and glycerol improves viability, proliferation and migration compared to Trehalose or Glycerol alone, and comparable to DMSO + FBS. Cells cryopreserved in Trehalose and glycerol also express the same surface markers and exhibit the same multi-lineage differentation potential as DMSO + FBS and fresh cells.",https://doi.org/10.1186/s13287-020-01969-0
0.6 M Trehalose,0,slow_freeze,0.56,not mention,Not mentioned,,,
1.0 M Trehalose,0,slow_freeze,0.65,not mention,Not mentioned,,,
1.25 M Trehalose,0,slow_freeze,0.58,not mention,Not mentioned,,,
10% Glycerol,0,slow_freeze,0.54,not mention,Not mentioned,,,
20% Glycerol,0,slow_freeze,0.63,not mention,Not mentioned,,,
30% Glycerol,0,slow_freeze,0.5,not mention,Not mentioned,,,
1.0 M Trehalose + 20% Glycerol,0,slow_freeze,0.77,not mention,Not mentioned,,,
10% DMSO + 90% FBS,0.1,slow_freeze,0.75,not mention,Not mentioned,,,
10% DMSO,0.1,slow_freeze,0.8,not mention,Not mentioned,"The study used two types of culture, feeder dependent and independent. For both types, no significant difference was observed in viability across all solutions except for 10% PROH. PI viability, colony count (4-5 days), Annexin V/PI apoptosis, caspase-9, DHE ROS, F-actin, ICC (Oct4/Nanog/SSEA4/Tra1-60/Tra1-81)",The results of viabilty implies that low  cell recovery after slow-freezing cryopreservation is associated with apoptosis rather than necrosis induced by cryoinjury. ,10.1002/btpr.358
10% DMSO + 10 uM ROCK inhibitor,0.1,slow_freeze,0.82,not mention,Not mentioned,,,
7.5% DMSO,0.075,slow_freeze,0.84,not mention,Not mentioned,,,
7.5% DMSO + 10 uM ROCK inhibitor,0.075,slow_freeze,0.76,not mention,Not mentioned,,,
7.5% DMSO + 2.5% PEG,0.075,slow_freeze,0.87,not mention,Not mentioned,,Optimal reduced DMSO.,
7.5% DMSO + 2.5% PEG + 10 uM ROCK inhibitor,0.075,slow_freeze,0.85,not mention,Not mentioned,,,
10% PROH,0,slow_freeze,0.56,not mention,Not mentioned,,,
7.5% PROH + 2.5% PEG,0,slow_freeze,0.74,not mention,Not mentioned,,,
10% DMSO + 30% FBS,0.1,slow_freeze,0.92,0.51,Not measrued ,Trypan blue exclusion test was used for cell viability and cell recovery usind 2 equations. Flow cytometry was used to assess stem cell surface markers that indicate multipotency. ,"Polyampholyte rescues low-DMSO cryopreservation; retains cell size/granularity, multipotency markers (no significant change vs. controls), and multilineage differentiation; scalable GMP synthesis; reduces clinical toxicity risks","https://dx.doi.org/10.1021/acsabm.0c00638
"
2.5% DMSO + 30% FBS,0.025,slow_freeze,0.47,0.17,Not measured ,,,
2.5% DMSO + 30% FBS + 20 mg/ml polyampholyte,0.025,slow_freeze,0.76,0.3,Not Measured ,,,
20% FBS + 5% DMSO,0.05,slow_freeze,0.87,not mention,30 ± 4 hours ,"post-thaw: trypan blue viability, RT-PCR (Oct4/Nanog), flow cytometry (CD markers), differentiation (osteo/adipo/chondro) assays","The study conducted the experiments using 2 different freezing protocols (programmed and non-programmed), since there was no significant difference in the results, nonprogrammed is recommeded due to its ease. Though glycerol showed lower viability compared to DMSO, it is still viable for cell cultures, stemness was preserved and no toxicity.",10.1155/2012/649353
20% FBS + 10% DMSO,0.1,slow_freeze,0.95,not mention,30 ± 4 hours ,,,
20% FBS + 5% Glycerol,0,slow_freeze,0.78,not mention,30 ± 4 hours ,,,
20% FBS + 10% Glycerol,0,slow_freeze,0.83,not mention,30 ± 4 hours ,,,
20% FBS + 30 mM Sucrose,0,slow_freeze,0.21,not mention,30 ± 4 hours ,,,
20% FBS + 60 mM Sucrose,0,slow_freeze,0.28,not mention,30 ± 4 hours ,,,
20% FBS + 60 mM Trehalose,0,slow_freeze,0.36,not mention,30 ± 4 hours ,,,
20% FBS + 100 mM Trehalose,0,slow_freeze,0.38,not mention,30 ± 4 hours ,,,
10% DMSO + 10% FBS,0.1,slow_freeze,0.297,not mention,Not reported,PI staining for dead cells and Hoechst staining for all cells to assess viability. MTT assays carried out for cell proliferation after cryopreservation and compared with fresh. ,"Cocktail solution in programmed cooling showed highest viability, similar cell proliferation as fresh cells and stemness maintained. ",10.1002/term.1945
0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol,0,slow_freeze,0.327,not mention,Not reported,,,
10% DMSO + 10% FBS,0.1,multi_freeze,0.353,not mention,Not reported,,,
0.05 M glucose + 0.05 M sucrose + 1.5 M ethylene glycol,0,multi_freeze,0.793,not mention,Not reported,,,
80% HS + 10% DMSO,0.1,slow_freeze,0.825,not mention,Not mentioned,"seed 6-well plate 24h; flow cytom (annexin V-FITC/PI, n=6), MTT prolif, oil red O/alizarin red OD diff (14/21 days), RT-PCR","10% PVP in DMEM yields ~70% viability (24h annexin V/PI), comparable to 10% DMSO+80% serum controls (~83%, ns), with low apoptosis/necrosis; extremes (1%/40% PVP) toxic. Serum addition marginal",10.1089=ten.tec.2009.0552
80% FCS + 10% DMSO,0.1,slow_freeze,0.841,not mention,Not mentioned,,,
1% PVP,0,slow_freeze,0.057,not mention,Not mentioned,,,
5% PVP,0,slow_freeze,0.493,not mention,Not mentioned,,,
10% PVP,0,slow_freeze,0.697,not mention,Not mentioned,,,
20% PVP,0,slow_freeze,0.555,not mention,Not mentioned,,,
40% PVP,0,slow_freeze,0.046,not mention,Not mentioned,,,
5% PVP + 10% HS,0,slow_freeze,0.532,not mention,Not mentioned,,,
10% PVP + 10% HS,0,slow_freeze,0.721,not mention,Not mentioned,,,
20% PVP + 10% HS,0,slow_freeze,0.618,not mention,Not mentioned,,,
5% PVP + 10% FCS,0,slow_freeze,0.554,not mention,Not mentioned,,,
10% PVP + 10% FCS,0,slow_freeze,0.692,not mention,Not mentioned,,,
20% PVP + 10% FCS,0,slow_freeze,0.643,not mention,Not mentioned,,,
10% PVP + 40% FCS,0,slow_freeze,0.705,not mention,Not mentioned,,,
10% PVP + 80% FCS,0,slow_freeze,0.725,not mention,Not mentioned,,,
0.5 M Trehalose,0,slow_freeze,not mention,not mention,Not mentioned,Alamar blue assay used for viability 48 hour after thaw.,"The results show that trehalose combined with 10% EG or Gly can be used as affective cryoprotectants, as morphology, self renewal potential and pluripotency is maintained.",https://doi.org/10.1016/j.scr.2018.07.021
0.5 M Trehalose + 2.5% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,conditions.,,
0.5 M Trehalose + 10% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M Trehalose + 10% Glycerol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M Trehalose,0,slow_freeze,not mention,not mention,Not mentioned,Alamar blue assay used for viability 48 hour after thaw.,"The results show that trehalose combined with 10% EG or Gly can be used as affective cryoprotectants, as morphology, self renewal potential and pluripotency is maintained.",https://doi.org/10.1016/j.scr.2018.07.021
0.5 M Trehalose + 2.5% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,conditions.,,
0.5 M Trehalose + 10% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M Trehalose + 10% Glycerol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M Trehalose,0,slow_freeze,not mention,not mention,Not mentioned,Alamar blue assay used for viability 48 hour after thaw.,"The results show that trehalose combined with 10% EG or Gly can be used as affective cryoprotectants, as morphology, self renewal potential and pluripotency is maintained.",https://doi.org/10.1016/j.scr.2018.07.021
0.5 M Trehalose + 2.5% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,conditions.,,
0.5 M Trehalose + 10% ethylene glycol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M Trehalose + 10% Glycerol,0,slow_freeze,not mention,not mention,Not mentioned,,,
0.5 M ethylene glycol + Mesencult complete medium,0,slow_freeze,0.65,not mention,Not mentioned ,DPSC cell lines from four separate  cultures were used.  Viability was determined by trypan blue exclusion after thawing.,The freezing effect of 1.0M and 1.5M Me₂SO was significantly better than that of EG or PG at the same concentration. There was no significant difference between the two concentrations.,https://doi.org/10.1016/j.cryobiol.2009.06.005
1 M ethylene glycol + Mesencult complete medium,0,slow_freeze,0.75,not mention,Not mentioned ,,,
1.5 M ethylene glycol + Mesencult complete medium,0,slow_freeze,0.77,not mention,Not mentioned ,,,
0.5 M propylene glycol + Mesencult complete medium,0,slow_freeze,0.43,not mention,Not mentioned ,,,
1 M propylene glycol + Mesencult complete medium,0,slow_freeze,0.68,not mention,Not mentioned ,,,
1.5 M propylene glycol + Mesencult complete medium,0,slow_freeze,0.67,not mention,Not mentioned ,,,
0.5 M DMSO + Mesencult complete medium,0.1,slow_freeze,0.74,not mention,Not mentioned ,,,
1 M DMSO + Mesencult complete medium,0.1,slow_freeze,0.906,not mention,Not mentioned ,,,
1.5 M DMSO + Mesencult complete medium,0.1,slow_freeze,0.91,not mention,Not mentioned ,,,
PM-1 + 10% DMSO,0.1,slow_freeze,0.95,not mention,Not mentioned ,"trypan blue for viablity test,Von Kossa’s method for checking differentiation ",High viability and relatively low  proliferation and lose osteogenic differentiation ability,https://doi.org/10.3727/096368911X605556
10% DMSO + 0.1 mol/L maltose + 1% sericin,0.1,slow_freeze,0.95,not mention,Not mentioned ,,High viability and relatively higher  proliferation and lose  osteogenic differentiation ability,
80% HS + 10% DMSO,0.1,slow_freeze,0.825,not mention,Not mentioned ,"The viability tested was conducted by quantitative flow cytometry annexin V-FITC-negative and PI-negative; annexin V− and PI− , Oil Red O staining and Alizarin Red staining for checking adipogenic differentiation and osteogenic differentiation respectively.","The absence of DMSO (with MC) significantly increased apoptosis and necrosis of ASC.ASCs can be frozen in serum-free DMEM containing at minimum 2% DMSO to maintain their viability and adipogenic and osteogenic differentiation capacity after thawing, providing a feasible solution for their clinical application.",https://doi.org/10.1089/scd.2009.0173
80% FCS + 10% DMSO,0.1,slow_freeze,0.841,not mention,Not mentioned ,,,
empty,0,slow_freeze,0.253,not mention,Not mentioned ,,,
2% DMSO,0.02,slow_freeze,0.838,not mention,Not mentioned ,,,
4% DMSO,0.04,slow_freeze,0.806,not mention,Not mentioned ,,,
6% DMSO,0.06,slow_freeze,0.86,not mention,Not mentioned ,,,
8% DMSO,0.08,slow_freeze,0.856,not mention,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,0.879,not mention,Not mentioned ,,,
1% MC,0,slow_freeze,0.468,not mention,Not mentioned ,,,
1% MC + 10% HS,0,slow_freeze,0.4,not mention,Not mentioned ,,,
1% MC + 10% FCS,0,slow_freeze,0.4,not mention,Not mentioned ,,,
1% MC + 10% DMSO,0.1,slow_freeze,0.798,not mention,Not mentioned ,,,
